City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Ambilobe,MG,79.79,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
381,Grand Baie,MU,73.45,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
382,Nisia Floresta,BR,70.61,few clouds,-6.0911,-35.2086,Rancho Crepusculo
386,Baturite,BR,73.47,scattered clouds,-4.3286,-38.8847,Hotel Padre Cícero Baturité
391,Mtsamboro,YT,78.12,clear sky,-12.6998,45.0689,4 Etoiles
399,Cap Malheureux,MU,73.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
401,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
402,Bhandara,IN,79.29,overcast clouds,21.1667,79.65,STARiHOTELS Bhandara
403,Kedrovyy,RU,72.01,clear sky,56.1667,91.8167,
404,Beberibe,BR,75.69,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
406,Dvurechensk,RU,70.18,scattered clouds,56.5982,61.0953,Dom Kul'tury
411,Kurlovo,RU,71.13,few clouds,55.4325,40.4854,
412,Ust-Ishim,RU,74.48,light rain,57.6935,71.1665,"Velichko T.p., Gostinitsa"
413,Gryazi,RU,76.19,clear sky,52.4966,39.9359,Гостиница Ника
414,Sao Paulo De Olivenca,BR,71.01,broken clouds,-3.3783,-68.8725,
417,Jutai,BR,72.28,broken clouds,-5.1833,-68.9,
420,Lentini,IT,77.94,broken clouds,37.2855,14.9996,Sant'Alphio Palace Hotel
421,Bahia Honda,CU,76.62,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
422,Saint-Leu,RE,72.46,clear sky,-21.15,55.2833,La Caz Oceane
423,Gubkin,RU,77.2,broken clouds,51.2817,37.5458,Ruda Hotel
432,Yarke Pole,UA,79.3,few clouds,45.608000000000004,34.3172,
433,Tabligbo,TG,73.26,overcast clouds,6.5833,1.5,HÔTEL LA TOLÉRANCE
436,Sao Jose Da Coroa Grande,BR,72.93,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
437,Lexington,US,71.6,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
440,Rebrikha,RU,76.55,scattered clouds,53.0733,82.3408,Gostinitsa Sibiryak
441,Alcantara,BR,79.0,clear sky,-2.4089,-44.4147,Pousada da Josefa
449,Bobo Dioulasso,BF,71.17,overcast clouds,11.1771,-4.2979,IBA Hotel
451,Pavlohrad,UA,73.74,overcast clouds,48.5167,35.8667,Kompleks Stylʹ
453,Matiguas,NI,70.72,overcast clouds,12.8373,-85.4622,Hotel Bethel
455,Cabedelo,BR,72.27,few clouds,-6.9811,-34.8339,Pousada Camboinha
460,Dori,BF,77.13,overcast clouds,14.0354,-0.0345,Hôtel Liptako
462,Pombia,IT,75.13,clear sky,45.653,8.6336,Albergo Fontana
463,Maiduguri,NG,72.12,light rain,11.8464,13.1603,Kagel Mari Police Station
465,Kabalo,CD,78.17,overcast clouds,-6.05,26.9167,
468,Itarema,BR,76.28,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
472,Kolyvan,RU,74.82,clear sky,55.3053,82.7391,
476,Porto Seguro,BR,75.72,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
478,Belmonte,BR,72.28,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
479,Cocobeach,GA,75.06,light rain,1.0002,9.5823,Hotel Esperance
481,Loum,CM,70.61,overcast clouds,4.7182,9.7351,hôtel Valeri
484,Sao Felix Do Xingu,BR,74.84,broken clouds,-6.6447,-51.995,Rio Xingu Camping
491,Khor,RU,71.55,scattered clouds,47.8861,134.9464,Gostinitsa Deksi
493,Bonita Springs,US,79.99,overcast clouds,26.3398,-81.7787,"Homewood Suites by Hilton Bonita Springs, FL"
494,Ocho Rios,JM,72.81,broken clouds,18.4025,-77.1048,Hibiscus Lodge
495,Segou,ML,76.82,broken clouds,13.4317,-6.2157,Comme chez soi
500,Axim,GH,76.24,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
504,Pendencias,BR,71.37,few clouds,-5.26,-36.7222,Cabanas Pousada
506,Nargana,PA,78.46,overcast clouds,9.4428,-78.5906,Dubbir
507,Iquitos,PE,71.83,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
511,Chipiona,ES,71.31,clear sky,36.7366,-6.437,Al Sur De Chipiona
512,Sokoni,TZ,74.86,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
513,La Asuncion,VE,79.29,clear sky,11.0333,-63.8628,Colinas de Matasiete
514,Mitsamiouli,KM,76.93,few clouds,-11.3847,43.2844,Foyer ADM
516,Bukama,CD,73.65,broken clouds,-9.2,25.85,
526,Sebring,US,76.89,clear sky,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
528,Zabalj,RS,70.61,scattered clouds,45.3722,20.0639,Semafor
531,Atkarsk,RU,78.57,clear sky,51.8718,45.0078,Hotel Kareta
535,Ryazan,RU,70.07,clear sky,54.6197,39.74,Atlantik
536,Westport,US,75.74,scattered clouds,41.1415,-73.3579,The Westport Inn
537,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
538,Borba,BR,73.18,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
539,Morondava,MG,73.06,clear sky,-20.2833,44.2833,La Case Bambou
540,Mahuta,TZ,70.65,overcast clouds,-10.8667,39.45,
542,Romanovo,RU,78.66,scattered clouds,52.6182,81.2271,
543,Mumford,GH,72.41,broken clouds,5.2618,-0.759,Spanish Villa
545,Mastic Beach,US,75.04,few clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
546,La Romana,DO,76.42,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
550,Bundibugyo,UG,73.13,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
551,Jacqueville,CI,74.52,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
556,Elizabeth City,US,75.22,heavy intensity rain,36.2946,-76.2511,Hampton Inn Elizabeth City
558,Talas,TR,74.07,clear sky,38.6908,35.5538,Fimaj Residence
559,Fatsa,TR,78.6,broken clouds,41.0278,37.5014,Yalcin Resort Hotel
561,Mtambile,TZ,75.72,light rain,-5.3833,39.7,
562,Sembe,CG,70.86,broken clouds,1.6481,14.5806,
564,Oussouye,SN,77.18,light rain,12.485,-16.5469,Auberge du Routard
566,Langen,DE,73.54,clear sky,49.9933,8.6728,Turmhotel Rhein-Main
573,Chuchkovo,RU,71.19,clear sky,54.2693,41.4465,
575,Brigantine,US,77.0,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
576,Luba,GQ,76.32,overcast clouds,3.4568,8.5547,
577,Iralaya,HN,79.09,overcast clouds,15.0,-83.2333,Iglesia morava renovada
583,Winneba,GH,72.14,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
585,Cueto,CU,77.52,scattered clouds,20.6439,-75.9356,
586,Pithoragarh,IN,78.98,few clouds,29.5833,80.2167,Hipostel Pithoragarh (Cafe Morrison)
588,Laishevo,RU,73.62,broken clouds,55.4046,49.5504,Mini-Otel'
592,Inirida,CO,71.2,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
594,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
595,Pontassieve,IT,74.7,few clouds,43.7737,11.4282,Leonardo's Rooms Locanda Nova
597,Nicoya,CR,73.72,overcast clouds,10.1483,-85.45200000000001,Las Cabinas Del Sueño
600,Belyy Yar,RU,78.85,clear sky,53.6039,91.3903,Pasportnyy Stol
601,Tutoia,BR,77.88,scattered clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
604,Odweyne,SO,72.81,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
605,Jawhar,SO,79.02,broken clouds,2.7809,45.5005,Hotel Shabelle
606,Rockland,US,75.83,broken clouds,41.1668,-74.0496,National Camp Association
608,Timiryazevskiy,RU,72.86,clear sky,56.49,84.8769,Kovcheg
610,Cave Spring,US,70.21,broken clouds,37.2276,-80.0128,"Holiday Inn Roanoke-Tanglewood-Rt 419&I581, an IHG Hotel"
621,Goundi,TD,70.32,light rain,9.3627,17.366,
622,Maracaibo,VE,79.43,broken clouds,10.6317,-71.6406,Motel Aladdin
624,Birao,CF,71.51,overcast clouds,10.2849,22.7882,
628,Prestea,GH,70.95,overcast clouds,5.4327,-2.1428,Channel 5
632,Bolotnoye,RU,72.63,clear sky,55.6717,84.3981,"Gostinichnyy Dom ""Otdykh"""
635,Malinovoye Ozero,RU,78.8,broken clouds,51.6753,79.7825,Baza Otdykha
643,Kisangani,CD,75.67,broken clouds,0.5167,25.2,Grand Ramela Hotel
645,Severnyy,RU,73.44,clear sky,50.677,36.5532,Full House North Mini-Hotel
648,Tucuma,BR,75.72,few clouds,-0.1833,-50.05,
651,Urumqi,CN,72.55,broken clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
652,Yuzhnyy,RU,77.38,scattered clouds,53.2542,83.6936,Golden Horseshoe
658,Bocas Del Toro,PA,78.17,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
661,Maceio,BR,71.04,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
662,Dogbo,BJ,72.68,overcast clouds,6.8167,1.7833,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
665,Saint Anthony,US,71.53,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
668,Jaguaribe,BR,71.22,clear sky,-5.8906,-38.6219,Hotel Pinheiro
669,Chyhyryn,UA,73.0,overcast clouds,49.0838,32.6555,Panatseya
670,Takoradi,GH,74.61,overcast clouds,4.8845,-1.7554,Raybow International Hotel
671,Kreuztal,DE,71.38,scattered clouds,50.9667,7.9833,Ferienhaus Bange
677,Oskemen,KZ,76.96,broken clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
680,Sungurlu,TR,75.85,clear sky,40.1675,34.3739,Sungurlu Ogretmenevi
682,Conakry,GN,75.27,broken clouds,9.538,-13.6773,Riviera Royal Hotel
684,Bonthe,SL,75.99,light rain,7.5264,-12.505,Bonthe Holiday Village
686,Conde,BR,71.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
688,Conceicao Do Araguaia,BR,72.84,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
694,Tallahassee,US,73.24,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
696,Tibiri,NE,73.74,clear sky,13.5627,7.0485,FADA GAO FA TIBIRI
699,Kargat,RU,77.86,clear sky,55.1956,80.2811,Kargat
700,Gurupa,BR,72.91,broken clouds,-1.405,-51.64,Hotel Vitória
