City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ibate,BR,-21.9547,-47.9967,50.76,83,0,11.74,clear sky
80,Oranjemund,NA,-28.55,16.4333,55.11,87,92,2.37,overcast clouds
81,San Cristobal,VE,7.7669,-72.225,64.76,97,60,2.66,broken clouds
82,Tasiilaq,GL,65.6145,-37.6368,32.16,69,30,4.72,scattered clouds
83,San-Pedro,CI,4.7485,-6.6363,73.92,88,92,5.23,overcast clouds
84,Kongwa,TZ,-6.2,36.4167,66.49,65,45,4.63,scattered clouds
85,East London,ZA,-33.0153,27.9116,63.18,73,67,16.51,broken clouds
86,Bambous Virieux,MU,-20.3428,57.7575,73.22,66,86,19.84,light rain
87,Port Alfred,ZA,-33.5906,26.891,63.21,83,100,15.39,overcast clouds
88,Novouzensk,RU,50.4592,48.1431,84.94,42,11,14.05,few clouds
89,Grand Gaube,MU,-20.0064,57.6608,73.38,60,89,13.0,overcast clouds
90,Jalu,LY,29.0331,21.5482,81.95,38,0,7.43,clear sky
91,Carbonia,IT,39.1672,8.5222,66.85,77,0,3.71,clear sky
92,Mar Del Plata,AR,-38.0023,-57.5575,48.09,86,0,10.0,clear sky
93,Sechura,PE,-5.5569,-80.8222,62.2,86,57,8.68,broken clouds
94,Namibe,AO,-15.1961,12.1522,61.16,89,21,3.87,few clouds
95,Klaksvik,FO,62.2266,-6.589,52.72,87,23,10.07,few clouds
96,Mangai,CD,-4.05,19.5333,74.35,27,41,0.85,scattered clouds
97,Banda Aceh,ID,5.5577,95.3222,86.7,60,99,14.63,overcast clouds
98,Visnes,NO,59.3556,5.2242,60.85,88,75,4.61,broken clouds
99,Skibbereen,IE,51.55,-9.2667,61.74,68,2,7.14,clear sky
100,Paranaiba,BR,-19.6772,-51.1908,56.62,73,0,5.35,clear sky
101,Iqaluit,CA,63.7506,-68.5145,40.69,86,38,7.43,scattered clouds
102,Anloga,GH,5.7947,0.8973,73.89,88,100,12.41,overcast clouds
103,Cayenne,GF,4.9333,-52.3333,78.1,1,0,0.0,clear sky
104,Ruwi,OM,23.5996,58.5507,95.16,51,100,7.36,overcast clouds
105,Orel,RU,52.9658,36.0803,75.2,59,0,11.79,clear sky
106,Madison,US,34.7334,-86.5667,74.86,96,100,4.61,overcast clouds
107,Sibi,PK,29.5448,67.8764,99.63,37,54,10.33,broken clouds
108,Senanga,ZM,-16.1167,23.2667,61.84,41,1,5.37,clear sky
109,Vardo,NO,70.3705,31.1107,51.78,76,75,25.32,light rain
110,Tombouctou,ML,20.0,-3.0,94.53,34,58,11.95,broken clouds
111,Inta,RU,66.0317,60.1659,53.69,93,100,17.98,moderate rain
112,Inhambane,MZ,-23.865,35.3833,72.25,66,0,9.6,clear sky
113,Tchamba,TG,9.0333,1.4167,70.75,97,100,3.85,light rain
114,Save,BJ,8.0425,2.486,71.29,94,100,4.41,overcast clouds
115,Sur,OM,22.5667,59.5289,91.54,58,100,0.94,overcast clouds
116,Caravelas,BR,-17.7125,-39.2481,73.06,69,61,10.45,broken clouds
117,Acarau,BR,-2.8856,-40.12,76.01,89,62,12.28,broken clouds
118,Almeirim,BR,-1.5233,-52.5817,72.72,96,20,2.71,few clouds
119,Vengerovo,RU,55.6848,76.7471,74.3,49,4,6.35,clear sky
120,Aksu,CN,41.1231,80.2644,76.48,55,100,7.34,overcast clouds
121,Dragomiresti,RO,44.9167,25.3333,73.71,43,25,5.53,scattered clouds
122,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,9.22,broken clouds
123,Santa Rosa,PH,14.3122,121.1114,91.09,61,62,5.12,broken clouds
124,Kumluca,TR,36.3703,30.2869,86.31,52,0,3.13,clear sky
125,Puerto Lopez,CO,4.0845,-72.956,70.81,96,39,3.94,scattered clouds
126,Am Timan,TD,11.0297,20.2827,71.19,98,100,6.17,light rain
127,Gat,IL,31.61,34.7642,81.39,100,0,4.0,clear sky
128,General Pico,AR,-35.6566,-63.7568,46.11,79,5,8.08,clear sky
129,Geraldton,AU,-28.7667,114.6,72.01,33,0,18.41,clear sky
130,Mahebourg,MU,-20.4081,57.7,73.26,65,82,20.04,broken clouds
131,Grand-Lahou,CI,5.1367,-5.0242,74.32,87,85,9.22,overcast clouds
132,Padang,ID,-0.9492,100.3543,83.66,79,34,5.21,scattered clouds
133,Clyde River,CA,70.4692,-68.5914,48.11,65,100,9.66,overcast clouds
134,Biharamulo,TZ,-2.6319,31.3089,68.04,50,69,10.18,broken clouds
135,Korla,CN,41.7597,86.1469,95.31,20,85,15.46,overcast clouds
136,Raudeberg,NO,61.9875,5.1352,54.95,92,100,9.46,overcast clouds
137,Olafsvik,IS,64.8945,-23.7142,48.99,81,100,1.57,overcast clouds
138,Akureyri,IS,65.6835,-18.0878,48.92,90,97,5.23,overcast clouds
139,San Rafael,AR,-34.6177,-68.3301,49.95,46,4,7.23,clear sky
140,Micheweni,TZ,-4.9667,39.8333,76.05,76,61,13.78,light rain
141,Paita,PE,-5.0892,-81.1144,62.53,85,84,9.62,broken clouds
142,Ambanja,MG,-13.6833,48.45,78.49,37,2,1.81,clear sky
143,Ponta Do Sol,PT,32.6667,-17.1,69.71,76,15,3.44,few clouds
144,Zaltan,LY,32.947,11.8665,80.67,64,0,2.17,clear sky
145,Moisakula,EE,58.0922,25.1864,67.69,65,15,7.2,few clouds
146,Matadi,CD,-5.8167,13.45,69.75,80,98,4.7,overcast clouds
147,Hukuntsi,BW,-24.0,21.75,57.54,26,0,12.21,clear sky
148,Bako,ET,5.7833,36.5667,66.61,71,99,2.82,overcast clouds
149,Beyneu,KZ,45.3167,55.2,92.39,17,0,4.45,clear sky
150,Chuy,UY,-33.6971,-53.4616,49.73,94,10,6.26,clear sky
151,Saint-Paul,RE,-21.0096,55.2707,73.51,62,5,2.66,clear sky
152,General Roca,AR,-39.0333,-67.5833,50.61,57,87,4.97,overcast clouds
153,Scarborough,GB,54.2797,-0.4044,63.91,80,0,1.74,clear sky
154,Cidreira,BR,-30.1811,-50.2056,58.32,87,0,13.29,clear sky
155,Lasa,IT,46.6166,10.7002,60.69,84,22,3.24,few clouds
156,Segezha,RU,63.7415,34.3222,60.39,61,86,15.08,overcast clouds
157,Storforshei,NO,66.4043,14.5233,49.78,81,75,16.11,broken clouds
158,Ancud,CL,-41.8697,-73.8203,49.8,93,100,29.08,moderate rain
159,Filadelfia,US,39.9523,-75.1638,77.97,50,75,10.36,broken clouds
160,Bengkulu,ID,-3.8004,102.2655,83.82,72,56,4.79,broken clouds
161,Poddorye,RU,57.4695,31.1156,65.86,61,100,5.19,overcast clouds
